name,category,phone,address,rating,review_snippet,place_id,has_website,email,demo_url
T&T Barbershop,Barber shop,(815) 556-9838,"16122 S. Route 59 Next to Beggars, Pizza and Constable Tattoo Shop, Plainfield, IL 60586, USA",4.4,"Walked in without an appointment and asked for a fade up from a half. It definitely wasn't a fade, and the trim off the top wasn't even.

I asked him to go back and take more, and I couldn’t tell the ",ChIJsYFghlX1DogRF719uGCVAvk,no,,https://t-t-barbershop.netlify.app
Barber Shop Lounge,Barber shop,(815) 764-6593,"714 Cottage St, Shorewood, IL 60404, USA",4.8,"Great service, great music, great people. No appointments needed. Walk-in and get your cut on first come first serve basis.",ChIJdRS6lC-KDogR6ERHLfCDzuM,no,,https://barber-shop-lounge.netlify.app
Kelly's Special Image,Barber shop,(815) 436-4299,"15032 S Illinois St #100, Plainfield, IL 60544, USA",4.9,Theresa is the best! I’ve been using her for my hair cuts for about a year or so now. I got diagnosed with cancer rarer this year and told her I would need to chance it all one of these days. Well tod,ChIJdQHvEB_1DogRzww_6idGp-U,no,,https://kelly-s-special-image.netlify.app
Sam's Barber Shop,Barber shop,(317) 838-7053,"1660 E Main St, Plainfield, IN 46168, USA",4.9,Sam did me right. Needed a good cut and that's exactly what he delivered. Will be my new spot to get cut and trimmed when I'm in the area. Call and make appointment!,ChIJB7YTREykbIgRtRAHEJ-ClAc,no,,https://sam-s-barber-shop.netlify.app
Hairhead Barbershop,Barber shop,(331) 286-0642,"2735 Hassert Blvd Unit 183, Naperville, IL 60564, USA",5,"We had a wonderful experience at this salon. The stylist was friendly, professional, and attentive from the moment we walked in. I highly recommend this salon to anyone looking for high-quality servic",ChIJJ4GqJGr3DogRlJo3AKPcisQ,no,,https://hairhead-barbershop.netlify.app
Acapulco Bakery Inc,Bakery,(815) 729-1737,"852 Sharp Dr # F, Shorewood, IL 60404, USA",4,Very very good food and it is super cheap. We got like 5 items for $6. Also cashier is cool.,ChIJATS3hk-KDogRIPzrsl8YW-I,no,,https://acapulco-bakery-inc.netlify.app
Hot and Crusty Sourdough Co,Bakery,(630) 559-6555,"4705 Chapman Dr, Plainfield, IL 60586, USA",,,ChIJJ8G_1ySLDogRDQFqh8fI6_8,no,,https://hot-and-crusty-sourdough-co.netlify.app
Krema Patisserie,Bakery,,"14220 US-30, Plainfield, IL 60544, USA",,,ChIJ_dkGSQD1DogRgA0pg3DBviI,no,,https://krema-patisserie.netlify.app
Treats by alaila,Bakery,(815) 286-1254,"Joliet Rd, Plainfield, IL 60544, USA",,,ChIJl2u52gf1DogRjrzeMaE0DmY,no,,https://treats-by-alaila.netlify.app
Bakery,,,"Bakery, Plainfield, IL 60586, USA",,,ChIJjce7-lWKDogRv2P-AiwysYo,no,,
NEOS Detail,,(815) 909-6426,"24552 Caton Farm Rd, Plainfield, IL 60586, USA",4.9,"I cannot recommend him enough! From the very beginning, he was extremely communicative, kind, and genuinely cared about making sure my car turned out exactly how I wanted. He took his time, paid atten",ChIJy8DM8KmLDogRT8NqJiXi1so,no,,https://neos-detail.netlify.app
Ex Detailing,,(815) 503-3009,"4308 Glenlo Dr, Plainfield, IL 60586, USA",5,"Got my 2011 Camry detailed and it looks amazing. Super clean inside and out, paint shines, and he paid attention to every detail. Brought an older car back to life. Highly recommend.",ChIJh7OlusGLDogRMnBlFdE2Uj4,no,,
Cleany Car Detail Joliet,,,"1638 Green Oaks Ct, Plainfield, IL 60586, USA",5,My car looks and smells brand every time I get my car detailed by them!!! fantastic!,ChIJreGTzEOLDogRp_O-tPr3xo8,no,,
Bella Nora Nail & Spa,Nail Salon,(815) 609-7978,"13400 S, 13400 Rte 59 Suite 110, Plainfield, IL 60585, USA",4.7,"I’ve been seeing Wendy for over a year now. She is my GIRL! Whether I want a design or something simple, she executes it perfectly every time. The spa is easy to get to and very clean. The pedicures a",ChIJWdI_jNz1DogRKzYoENqpQQ4,no,,
Ali Nails Salon,Nail Salon,(331) 337-9096,"13242 Rte 59 Ste 204, Plainfield, IL 60585, USA",5,Came here for my first Russian manicure today & it was a fantastic experience! My technician Laura was very kind and knowledgeable. The salon is very clean and welcoming. I will be coming back again &,ChIJm_JYUOH1DogRLNNGpDg7Kno,no,,
Jitters,Coffee Shop,(815) 740-0048,"178 N Chicago St, Joliet, IL 60432, USA",4.7,This place is absolutely amazing! Stopped by here with my mom to grab a quick bite and I must say what a hidden gem! I’m not from the area so I was a little unsure. We were greeted with so much warmth,ChIJX9oqi8hmDogRPz2dWsc-R0g,no,,
Nitty Gritty Barbershop,Barber shop,(630) 677-0393,"76 W Van Buren St, Oswego, IL 60543, USA",4.8,"Nitty Gritty HAS  and WILL  ALWAYS be our go-to barbershop. It’s not just about legit quality cut, but about the welcoming environment and vibes.
My son and I first started going to Nick when my son w",ChIJWSCNVMzrDogRglzuXatdPjo,no,,
Pit Stop Barbershop,Barber shop,(331) 215-0645,"2757 US-34, Oswego, IL 60543, USA",5,Took my 7 year old son in for his first barber experience. Alex did an amazing job with him. Everyone was very friendly! We will be back!,ChIJyyzv_LvxDogRh-xi2VUYuIw,no,,
Main Street Barber,Barber shop,(630) 853-1907,"73 Main St, Oswego, IL 60543, USA",4.9,"Ron at Main Street Barber has been cutting my hair ever since he came to Oswego. I want a regular barber experience with a friendly atmosphere and that is what I get here, not a flashy salon experienc",ChIJJ6ciUW_uDogRmDgvZqV7zmc,no,,
Premier Fades,Barber shop,(224) 355-2009,"79 Boulder Hill Pass, Montgomery, IL 60538, USA",4.7,"I’ve been to a lot of barbershops, but this one stands out on a different level. From the moment you walk in, the energy is right—clean environment, professional atmosphere, and a team that clearly ta",ChIJgT_o-nfvDogR5lPl9Jv2K24,no,,
Legends Studio,Barber shop,(630) 770-5973,"2400 US-30 Ste 128, Oswego, IL 60543, USA",5,Mega & Gabe are great barbers! They leave you fresh and clean every time. I like how they use that old fashion razor to get that real close shave. Thanks for always getting me in my guys!,ChIJh4_ScYzxDogR5AtU-1gxe2w,no,,
Pit stop barbershop F-1,Barber shop,(630) 233-9606,"2733 US-34, Oswego, IL 60543, USA",5,"Daniel is an excellent barber and always does an amazing job. He pays close attention to detail, makes sure you get exactly the cut you want, and keeps everything professional the entire time. The bar",ChIJSVVIdMjxDogRXXxnYsnD0F4,no,,
